id,name,club,profileLink
3941,Belucz Zoltán - Bódis-Nagy Katinka,Sway Táncsport Egyesület - Ritmo Sporttánc Egyesület,par.php?id=1512
3942,Gépész Zoltán - Simon Júlia,Dancing Queen Sport Tánc Egyesület - Ritmus Kulturális és Sportegyesület,par.php?id=3210
3943,Szabó Ádám - Kovács Eszter,Ametiszt Táncsport Egyesület-Tornádó TSE,par.php?id=4
3944,Varga Martin Dorián - Gróf Dalma Krisztina,Lorigo Táncsport Egyesület,par.php?id=13
3945,Tornyai Krisztián - Maglódi Regina,Stúdió 2000 TSE,par.php?id=5423
3946,Beregszászi Zoltán - Sebők Viktória,L-DANCE GROUP Táncsport Egyesület,par.php?id=5446
3947,Nagy Bence - Karcagi Luca,INFINITY DANCE COMPANY TSE,par.php?id=5378
3948,Murár Balázs - Augusztin Anna,Medalion Táncsport Egyesület,par.php?id=5420
3949,Kohári Bence Olivér - Istvánfi Diána,SZOLDANCE Táncsport Egyesület - Botafogo Táncegyüttes,par.php?id=6991
3950,Éder Barnabás András - Csumán Csenge,Quality Dance TSE,par.php?id=4797
3951,Lekly Dominik - Szőllősy Blanka,Oktogon Tánc Centrum Egyesület - Dance Express Tánc Sport Egyesület,par.php?id=5202
3952,Egyed Zsófia -,Dance Universe Tánc Sportegyesület,par.php?id=6660
3953,Oncioiu Matei - Bereczki Zsófia,Romania,par.php?id=6825
3954,Adamko Michal - Kováčová Sofia,Slovakia,par.php?id=6821
3955,Parada Alexander - Číková Simona,Slovakia,par.php?id=6822
3956,Sütő Zalán - Gáspár Gréta,Botafogo Táncegyüttes - Dance Universe Tánc Sportegyesület,par.php?id=6254
3957,Lábodi Attila - Bori Boglárka,DANZA Táncsport Klub,par.php?id=902
3958,Hegyi Olivér - Csordás Róza,Studio 2000 TSE,par.php?id=4693
3959,Czakó István Marcell - Ancsa Janka,Pro-Art Táncstúdió,par.php?id=4702
3960,Harkai Patrik  - Hachbold Gréta,Pro-Art Ts.,par.php?id=4703
3961,Fehér Normann - Bódi Helga,Pro-Art Ts.,par.php?id=4704
3962,Kolompár Viktor - Katona Karina,Pra-Art Táncstúdió,par.php?id=4706
3963,Nyerges-Sándor Ádám - Hollósi Éva,Pro-Art Táncstúdió,par.php?id=4707
3964,Hintersher Ádám - Patai Blanka,Studio 2000 TSE,par.php?id=4705
3965,Boldizsár Béla - Tóth Fruzsina,Forma Táncsport Egyesület - Flamenco 2001 TSE,par.php?id=7350
3966,Hanga Zoltán Dávid - Bércesi Csenge,SZOLDANCE Táncsport Egyesület,par.php?id=7240
3967,Tamás Márton - Tibor Szintia Dzsenifer,Felicita KTSE,par.php?id=1621
3968,Juhász Gellért László - Halasi Lola Laura,Valcer TáncSport Egyesület,par.php?id=7503
3969,Bődi Dénes - Balogh Nikolett Evelin,Szilver Táncsport Egyesület - Flamenco 2001 TSE,par.php?id=3122
3970,Széles András - Karajos Judit,Valcer Táncstúdió,par.php?id=4839
3971,Hortobágyi Dorka -,C&M TSE,par.php?id=4597
3972,Pintér Dóra Rebeka -,Tornádó TSE,par.php?id=4599
3973,Szabó Virág Imola -,Szigó KTSE,par.php?id=4600
3974,Szabó Zsófia -,Ritmo STE,par.php?id=4601
3975,Kovács Levente Áron - Nagy Dorottya,Savaria Táncsport Egyesület,par.php?id=1998
3976,Koloh Gergő - Hufnágel Dorina,Felicita KTSE,par.php?id=5461
3977,Kosárkó Roland - Tóth Boglárka,Miskolcz-Revital TSE,par.php?id=178
3978,Szakál-Balogh Júlia -,Danza Táncsport Egyesület,par.php?id=7338
3979,Pivarcsi András - Pivarcsiné Krakkó Borbála,Goldance Táncsport Egyesület,par.php?id=4948
3980,Veliciu Bogdan - Kadar Debora,Románia (RO),par.php?id=970
3981,Sinkó Péter - Gálfi Petra,Szilver Táncsport Egyesület,par.php?id=44
3982,Ercsi Dániel - Kiss Luca,Stúdió 2000 TSE,par.php?id=439
3983,Posta Dorottya -,Lesz Dance Tánc- és Sportegyesület,par.php?id=6210
3984,Csáki Benedek Szabolcs - Kovács Noémi Lili,Valcer Táncstúdió,par.php?id=1549
3985,Gasparin Zsombor - Lapicz Anna,Medalion Táncsport Egyesület,par.php?id=133
3986,Ács Bence - Dienes Regina,Botafogo Táncegyüttes,par.php?id=4927
3987,- Sebők Nikolett,Szabolcs DSE,par.php?id=5002
3988,- Szalkay Lili,Szabolcs DSE,par.php?id=5003
3989,- Karakó Viktória,Szabolcs DSE,par.php?id=5004
3990,- Benczúr Dorina,Kner TSE- Bárdos Lajos AMI,par.php?id=4661
3991,- Koziel Patrícia,Kner TSE- Bárdos Lajos AMI,par.php?id=4663
3992,- Faragó Luca,Nyiri Lajos TSE,par.php?id=5005
3993,BAGOSI ZOLTÁN - DÓRA SZERENY,,par.php?id=5336
3994,Sipos Gábor - Lakos Katalin,Oktogon Tánccentrum - C&M Dance Studio Tánc Sport Egyesület,par.php?id=1654
3995,Matthew Krupa - Nicole Billings,Poland,par.php?id=3257
3996,Ragnar Traks - Kristina Volt,Estonia,par.php?id=3256
3997,Erik Gerhard Baranyai - Daria Alexia Ardelean,Romania,par.php?id=2972
3998,Tamás Kristóf Kis - Mária Nagyová,Slovakia,par.php?id=3291
3999,Dino  Veic - Korina Jurilj,Croatia,par.php?id=3292
4000,Tanno Terestal - Anneli  Lindam,Estonia,par.php?id=3293
4001,Rak Roman - Igelska Katerina,Ukraine,par.php?id=3261
4002,Jonas Tomanek - Lucie Ruzickova,Czech Republic,par.php?id=3294
4003,Marek Rebro - Katka Bachorikova,Slovakia,par.php?id=3295
4004,Petr Vengrynsky - Sara Vondrejcova,Czech Republic,par.php?id=3296
4005,Hynek Appl - Pavlina Applova,Czech Republic,par.php?id=2977
4006,Vladimir Gubica - Jovana Jevtić,Serbia,par.php?id=3297
4007,Jakab Barnabás - Magyari Míra,Ritmo Sporttánc Egyesület,par.php?id=2238
4008,Latin-Girls - 8,Fallaway-Kecskemét,par.php?id=4757
4009,LATIN MIX - 5,Fallaway Táncegyesület Szeged,par.php?id=4758
4010,Single Ladies - 5,GM Tánciskola Békéscsaba,par.php?id=4759
4011,Latin mix - 4,Lehel-Melody TSE,par.php?id=4760
4012,Kézsmárki János - Juhász Kitti,Pro-Art Táncstúdió - Oktogon Tánccentrum,par.php?id=3842
4013,Csepregi Gergő - Lakatos Zsófia,Sundance Tánc Sport Egyesület,par.php?id=4931
4014,Barkaszi Bálint - Salamon Sára,SZIGO Kulturális Táncsport Egyesület - Gála Társastáncklub Egyesület,par.php?id=6137
4015,Horváth András Máté - Szvetnyik Emese Csilla,Dance Express Tánc Sport Egyesület,par.php?id=6177
4016,Salvatore Vitacca - Zhai Mengfei,Italy,par.php?id=4416
4017,Martin Mestek - Anna Stareckova,Czech Republic,par.php?id=3279
4018,Gabrielius Vaikasas - Klaudia Grabowska,Poland,par.php?id=4221
4019,Maxim Sitkin - Svetlana Karpova,Russian Federation,par.php?id=4386
4020,Tomas Janonis - Santa Vlasa,Lithuania,par.php?id=4387
4021,Miles Jonathan Chapman - Stefania Vitacca,England,par.php?id=4417
4022,Dominik Fus - Terezia Valeria Ziffova,Austria,par.php?id=4418
4023,Matteo Conti - Michela Vagni,Italy,par.php?id=4419
4024,Mikhail Schastiev - Anastasia Diagileva,Russian Federation,par.php?id=4420
4025,Tim Grabenwoeger - Cremar Natalie,Austria,par.php?id=4376
4026,Nemanja Simikic - Tijana Simikic,Serbia,par.php?id=4388
4027,Alari Ameljushenko - Karita Raid,Estonia,par.php?id=4379
4028,Alex-Daniel Nymmemees - Mileene Varik,Estonia,par.php?id=4375
4029,Gedovics Balázs - Szenti Regina,Stúdió 2000 TSE - Forma Táncsport Egyesület,par.php?id=3767
4030,Meinrad Wechselberger - Franziska Nadine Schwarzmuelle,Austria,par.php?id=4421
4031,Florian Jakub - Veronika Hegrova,Czech Republic,par.php?id=4422
4032,Donato Acampora - Lorena Mancini,Italy,par.php?id=4423
4033,Emiliano Ciarabellini - Martina Susino,Italy,par.php?id=1441
4034,Stefano Santucci - Verusca Pallini,Italy,par.php?id=3539
4035,Adriano Gilioli - Lucia Pavan,Italy,par.php?id=1468
4036,Ioannis Midiatis - Maria Midiati,Greece,par.php?id=3307
4037,Massimo Galli - Fiorella Fossati,Italy,par.php?id=1472
4038,Peter Nydegger - Marlise Reichen,Switzerland,par.php?id=4424
4039,Piero Boschi - Daniela Carlesi,Italy,par.php?id=4425
4040,Raffaele Masuccio - Luigina Borri,Italy,par.php?id=4426
4041,Wolfgang Drewitz - Eva-Mary Kohn,Germany,par.php?id=3305
4042,Csontos Levente - Terdik Tímea,Valcer Táncstúdió,par.php?id=4467
4043,Szőke Dániel - Bata Indira Zoé,Szilver Táncsport Egyesület,par.php?id=4919
4044,Balogh Gergely - Kiss Noémi,C&M Dance Studio Tánc Sport Egyesület,par.php?id=3994
4045,Nikita Startsev - Anastasiia Maziuta,Ukraine,par.php?id=4956
4046,Labancz Gábor - Dedics Regina,Freedance - 2008 Társastánc Sportegyesület,par.php?id=1760
4047,Balogh Zsolt - Szabó Nóra,Valcer TáncSport Egyesület,par.php?id=6569
4048,Lévai Zalán Bálint - Pétercsák Krisztina,Goldance Táncsport Egyesület,par.php?id=4121
4049,Szűcs Máté - Bertalan Anna Lili,Lesz Dance Tánc- és Sportegyesület,par.php?id=5217
4050,Herczeg Zsolt - Gorovené Tóth Erika,Everydance Táncsport Egyesület,par.php?id=4808
4051,Perjés Zoltán - Posta Dorottya,Lesz Dance Tánc- és Sportegyesület,par.php?id=5218
4052,Király Márk - Szatmári Dorottya Erzsébet,Claudius Táncsport Egyesület - Pro-Art Táncstúdió,par.php?id=4942
4053,Szabó Robin László - Sulyán Lilla Katalin,Pro-Art Táncstúdió - Sway Táncsport Egyesület,par.php?id=4437
4054,Galántai Veronika -,Lorigo Táncsport Egyesület,par.php?id=7450
4055,Véghelyi Tamás - Berger Vikória Beatrix,Botafogo Táncegyüttes,par.php?id=5169
4056,Borsós Zoltán - Gálfalvi Anna Andrea,Oktogon Tánc Centrum Egyesület,par.php?id=4918
4057,Kulják Krisztián - Bálint Nikoletta,Forma Táncsport Egyesület,par.php?id=187
4058,Sárosi Róbert - Tóth Emília,Pro-Art Táncstúdió,par.php?id=188
4059,Pandur Péter - Keller Odett,Adria-Szigó KTSE,par.php?id=387
4060,Purak Hajnalka -,Ködmön Társastánc Sportegyesület,par.php?id=6814
4061,Marius Torka - Barbara Torka,Germany,par.php?id=1453
4062,Alfredo Anselmi - Anna Maria Pietrobelli,Italy,par.php?id=1458
4063,Dietmar Jungmann - Susanne Jungmann,Germany,par.php?id=1459
4064,Emilio Villodres - Montserrat Estall,Spain,par.php?id=1461
4065,Massimiliano Gerolami - Maria Assunta Polita,Italy,par.php?id=1462
4066,Pauli Haapakorva - Arja Haapakorva,Finland,par.php?id=1463
4067,Guenter Engel - Erika Engel,Austria,par.php?id=1464
4068,Erich Boenisch - Christiana Boenisch,Austria,par.php?id=1465
4069,Hannes Weber - Elisabeth Weber,Austria,par.php?id=1467
4070,Stanislovas Cesonis - Ramune Jurciukoniene,Lithuania,par.php?id=1469
4071,Ivo Kreisl - Marie Magdalena Dufkova,Czech Republic,par.php?id=1470
4072,Lubomir Turinic - Lubica Turinicova,Slovakia,par.php?id=1471
4073,Walter Korkisch - Elisabeth Radowisch-Kragl,Austria,par.php?id=1473
4074,Andreas Mehl - Caroline Mehl,Austria,par.php?id=1367
4075,Harald Ebner - Barbara Wanek-Zajic,Austria,par.php?id=3299
4076,Urmas Saetalu - Triinu Saetalu,Estonia,par.php?id=4266
4077,Jose Maria Carbonell Ojeda - Maria Jose Munoz Criado,Spain,par.php?id=4272
4078,Jan Mokris - Vera Mokrisova,Czech Republic,par.php?id=4255
4079,Lubomir Hochvart - Iveta Hochvartova,Slovakia,par.php?id=4273
4080,Jozef Csizmazia - Gabriela Csizmaziova,Slovakia,par.php?id=1357
4081,Pekár Patrik - Gyuris Szkarlett,Bajai TSE,par.php?id=1751
4082,Tumó Roland - Pápay Liliána,Bajai TSE,par.php?id=1752
4083,Vaskó András - Fuszenecker Mónika,Bajai TSE,par.php?id=1753
4084,Vibe -,Dance Universe Tánc Sportegyesület,par.php?id=7630
4085,Szabó Gábor Ádám - Benkő Zsuzsanna,Forma Táncsport Egyesület,par.php?id=1966
4086,Schmidt Jázmin -,Kozármislenyi Tornádó Tánc Sport Klub,par.php?id=7662
4087,Karsai Petra -,Lesz Dance Tánc- és Sportegyesület,par.php?id=6648
4088,Sándor Kincső -,Spirit Tánc Sport Egyesület,par.php?id=7606
4089,Schmidt Marcell - Barancsi Nóra,Szigo KTSE,par.php?id=5064
4090,Katona Boldizsár - Mamuzsity Dóra,Sundance Tse,par.php?id=5065
4091,Nagy Adrián - Keszeg Csenge,Szigo KTSE,par.php?id=5066
4092,Erdősi Dávid - Bencze Anna,Szigo KTSE,par.php?id=5067
4093,Pipa Levente - Molnár Léna,Szigo KTSE,par.php?id=5068
4094,Nyers Gábor - Raffael Ramóna,Szigo KTSE,par.php?id=5069
4095,Veér Benjamin Ferenc  - Géci Eszter,Szigo KTSE,par.php?id=5070
4096,Zsizsik Máté Tibor - Nemes Alexa,Laguna KTSE,par.php?id=2450
4097,Szekér Ticián - Illés Bettina,Gála Társastáncklub Egyesület,par.php?id=2682
4098,Furák Levente - Furák Szófia Flóra,BNK Tánc Sportegyesület,par.php?id=5458
4099,Cziklin Dusán - Vígh Fanni,,par.php?id=328
4100,Antal Krisztián - Bujáki Lili,,par.php?id=512
4101,Grumming Ábel - Miklós Enikő,Felicita KTSE,par.php?id=5737
4102,Törőcsik Szabolcs - Monostori Borka,SZOLDANCE TSE,par.php?id=326
4103,Szikszai Tibor - Csuba Anita,Nyíri Lajos Táncsport Egyesület,par.php?id=2547
4104,Szűts Marcell - Vencel Krisztina,Oktogon Tánccentrum,par.php?id=2583
4105,Németh Gábor - Nagy Katalin,Laguna KTSE - Goldance Táncsport Egyesület,par.php?id=6998
4106,Szűcs Attila - Szücsné Füredi Edina Éva,C&M Dance Studio Tánc Sport Egyesület,par.php?id=1660
4107,Deregi Ádám - Kőrösi Dóra,Fenomén TáncSport Egyesület,par.php?id=1876
4108,Tavaszi szél -,Gála Társastáncklub Egyesület,par.php?id=6416
4109,Minions -,Lorigo Táncsport Egyesület,par.php?id=6432
4110,Várdai Csongor - Hábel Adél,SZOLDANCE Táncsport Egyesület,par.php?id=6490
4111,Kovács István Zoltán - Kovács Barbara,Papiron Szeged Versenytáncklub Egyesület,par.php?id=6082
4112,Agárdi Márk Dávid - Istvánfi Diána,Botafogo Táncegyüttes,par.php?id=5652
4113,Pálfi Donát Kende - Hordós Anna,El Paso SE,par.php?id=2882
4114,Fejes Botond - Ilyés Bernadett,Érdi Táncsport Egyesület,par.php?id=5805
4115,Varga Tamás - Szabó Vanda,Kapronczai AMI Szigetvár,par.php?id=800
4116,Berta Gábor Dániel - Bene Dóra,Kossuth AMI Sellye,par.php?id=860
4117,Tamás Marcell - Tisza Viktória,Kapronczai AMI Pécs,par.php?id=858
4118,Papp Gergő - Than Anna,Kapronczai AMI Pécs,par.php?id=1199
4119,Varga Viktor - Horváth Kinga,Kapronczai AMI Györe,par.php?id=782
4120,Nagy Valentin - Bakó Nikolett,Kapronczai AMI Györe,par.php?id=845
4121,Nagy Alex - Gáspár Regina,Kapronczai AMI Györe,par.php?id=846
4122,Maurszki Márk - Csollány Eszter,Kapronczai AMI Györe,par.php?id=842
4123,Bakó Dominik - Bodony Bianka,Kapronczai AMI Györe,par.php?id=784
4124,Hetesi Krisztián - Limdmayer Jázmin,Perfect Dance TSE,par.php?id=413
4125,Czéh Tamás - Kelemen Laura,Gemenc TSE,par.php?id=412
4126,Bakó Zsombor - Salamon Sára,Gála Társastáncklub Egyesület,par.php?id=1031
4127,Takács Ákos - Tóth Kovács Dorina,EMOTION (Érzelem) TÁNCSTÚDIÓ Egyesület,par.php?id=5503
4128,Kondratiev Grigory - Silina Stefania,Russian Federation,par.php?id=4513
4129,Perretta Riccardo - Petronilli Eleonora,Italy,par.php?id=4514
4130,Hegyi Daniel Andras - Silva Giuliana Domingues da,Germany,par.php?id=4515
4131,Pletnev Alexander - Samoilovich Mariia,Austria,par.php?id=4516
4132,Magyar Milan - Popa Diana Maria,Romania,par.php?id=3555
4133,Simion Polivencu - Polina Marjinean,Moldova,par.php?id=4517
4134,Beke Kata -,Kozármislenyi Tornádó Tánc Sport Klub,par.php?id=6930
4135,Balázs Erik Henrik - Rozsnyai Jázmin Zita,PRO-ART ELIT Egyesület,par.php?id=6350
4136,Belo Oleksandr - Holubka Anastasiia,Ukraine,par.php?id=4964
4137,Vincze Ádám - Gallai Anett Katalin,Goldance Táncsport Egyesület - Laguna KTSE,par.php?id=2570
4138,Ganea Andrei - Luncan Alexia,EXCLUSIVE-DANCE - ORADEA ROMANIA,par.php?id=5329
4139,Dabis Barnabás Levente - Szél Luca,Spirit Tánc Sport Egyesület,par.php?id=7585
4140,Burca Sebastian - Burca Alexandra,Exclusive Dance club,par.php?id=6922
4141,Veszi Eric - Florut Carina,Exclusive Dance club,par.php?id=6921
4142,Nagy Katalin Edina -,Dance Universe Tánc Sportegyesület,par.php?id=7473
4143,Horváth Júlia -,PresiDance TSE,par.php?id=7128
4144,Hárs Maja -,Ametiszt Tánc-Sport Egyesület,par.php?id=7327
4145,Agárdi Márk Dávid - Belényesi Regina,C&M Dance Studio Tánc Sport Egyesület,par.php?id=4110
4146,Kárász Júlia  -,C&M Dance Studio TSE,par.php?id=1925
4147,Szántó Dorina -,C&M Dance Studio TSE,par.php?id=1926
4148,Tóth Lilla  -,C&M Dance Studio TSE,par.php?id=1927
4149,Gueth Petra -,C&M Dance Studio TSE,par.php?id=1928
4150,Tóth Márton - Pethő Gréta,Promenád Táncsport Egyesület,par.php?id=284
4151,Varga Miklós - Lévai Luca,Ritmo Sporttánc Egyesület,par.php?id=261
4152,Kovács Levente - Józsa Janka,Ritmo Sporttánc Egyesület,par.php?id=96
4153,Koltai Laura Zita -,Spirit Tánc Sport Egyesület,par.php?id=6475
4154,Farkas Sára -,Lesz Dance Tánc- és Sportegyesület,par.php?id=6386
4155,Szilágyi Dóra -,Dance Square Sportegyesület,par.php?id=6305
4156,Nagy Dávid - Vihánszki Adél Dorottya,Ködmön Társastánc SE,par.php?id=134
4157,Balog Mihály - Fördős Kata,Kner Táncsport Egyesület,par.php?id=371
4158,Szuromi Roland - Berkó Réka,"Szilver AMI, Szolnok Szent-Györgyi",par.php?id=559
4159,Kormos Zsolt - Diós Roberta Alexandra,"Szilver AMI, Szolnok Szent-Györgyi",par.php?id=560
4160,Kézér Gergő - Agócs Vincencia,"Szilver AMI, Szolnok Szent-Györgyi",par.php?id=561
4161,Diós Martin János - Szabó Zsófia,"Szilver AMI, Szolnok Szent-Györgyi",par.php?id=562
4162,Karkus András - Mátyus Lili,"Szilver AMI, Szolnok Szent-Györgyi",par.php?id=563
4163,Korom Milán - Somogyi Anikó,"Szilver AMI, Szolnok Szent-Györgyi",par.php?id=564
4164,Ködmön TSE A csapat -,Ködmön Társastánc SE,par.php?id=6048
4165,Forma TSE - Táltos Team stand -,Forma Táncsport Egyesület,par.php?id=6066
4166,Orosz Gergely Xavér - Szita Emese,Bonita Sporttánc Egyesület,par.php?id=4910
4167,Václav Masaryk - Klára Chovančíková,Czech Republic,par.php?id=3230
4168,Vitali Nestsiarovich - Ekaterina Tolmacheva,Belarus,par.php?id=3231
4169,Victor  Bychkov - Alina Atamanchuk,Russian Federation,par.php?id=3232
4170,Cristian Lalli - Alice Fabrizi,Italy,par.php?id=3233
4171,Mikael Tatarkin  - Anja Pritekelj,Germany,par.php?id=3234
4172,Edgaras Baltaragis - Indre Kucinskaite,Lithuania,par.php?id=3235
4173,Giuseppe Incatasciato - Eva Fus,Austria,par.php?id=3236
4174,Adam Fedko - Joanna Fedko,Poland,par.php?id=3237
4175,Andras Jüttner - Renata Simídová,Austria,par.php?id=3238
4176,Radovan Kurinec - Eliska Lencesova,Slovakia (Slovak Republic),par.php?id=3239
4177,Robertas Urbonavicius - Juste Povilaityte,Lithuania,par.php?id=3240
4178,Tomá Jakubec - Linda Kvasničková,Czech Republic,par.php?id=3241
4179,Ioan-Adrian Ionascu - Ilinca-Ioana Tarnavean,Romania,par.php?id=3242
4180,Philipp  Ladler - Sara Griesbacher,Austria,par.php?id=3243
4181,Robin Matejka - Nicol Cupalova,Czech Republic,par.php?id=3244
4182,Michal Biazik - Klaudia Strochalska,Poland,par.php?id=3245
4183,David Steindl - Lydia  Kager,Austria,par.php?id=3247
4184,Solyom  Daniel - Siminska Zuzana,Slovakia (Slovak Republic),par.php?id=3248
4185,Roman Berky - Nicole Farkasova,Slovakia (Slovak Republic),par.php?id=3249
4186,Andre Bily - Tereza Bila,Czech Republic,par.php?id=3250
4187,Csépán Benjámin - Klem Zsófia,SZIGO Kulturális Táncsport Egyesület,par.php?id=6574
4188,Suszter Ferenc Dávid - Horváth Camille,Ametiszt Táncsport Egyesület,par.php?id=6547
4189,Metamorfózis -,DanceStation Táncsport Egyesület,par.php?id=5331
4190,Made in Amerika -,DanceNet SE,par.php?id=5332
4191,Vágy -,DanceNet SE,par.php?id=5333
4192,Helló Dolly -,DanceStation Táncsport Egyesület,par.php?id=5334
4193,Török Dániel Viktor - Popovics Fanni,Tornádó TSE-Adria-Szigó KTSE,par.php?id=2039
4194,Kiss Csanád - Juhász Vivien,Adria-Szigó KTSE,par.php?id=2040
4195,Hvozdianskyi Andriy - Tabaka Karina,Ukraine Beregszász,par.php?id=5046
4196,Kohári Bence - Varga Vivien,Szilver TSE,par.php?id=1794
4197,Székely Norbert - Zauer Dóra,Danza Táncsport Egyesület,par.php?id=6466
4198,Kővári Maja -,Fulldance Táncsport Egyesület,par.php?id=6244
4199,Perendi Kristóf - Hoffer Réka,Stúdió 2000 TSE,par.php?id=230
4200,Baranyai Bence Zsombor - Badak Emese,Botafogo Táncegyüttes,par.php?id=5532
4201,Burcsa Balázs - Szlepák Andrea Zsuzsanna,Botafogo Táncegyüttes,par.php?id=2218
4202,Drab Tibor - Szereda Natalja,Goldance Táncsport Egyesület,par.php?id=1877
4203,Karol KOSON - Paulina Sara KARKOSIK,Lengyelország,par.php?id=1967
4204,Horváth Gábor - Csernák Alexandra,Botafogo Táncegyüttes,par.php?id=4772
4205,Strausz Tamás - Kónya Evelin,EMOTION (Érzelem) TÁNCSTÚDIÓ Egyesület - INFINITY DANCE COMPANY TÁNCSPORT EGYESÜLET,par.php?id=6888
4206,Varga Vanda Viktória -,PRO-ART ELIT Táncakadémia Kulturális és Sport Egyesület,par.php?id=6361
4207,Iasko Márk Apor - Mudure Ingrid,Papiron Szeged Versenytáncklub Egyesület,par.php?id=7260
4208,Aleksander Johanson - Adriana Johanson,Estonia,par.php?id=4405
4209,Martin Novak - Natalie Valisova,Czech Republic,par.php?id=4406
4210,Jan Plachy - Anezka Kopackova,Czech Republic,par.php?id=4407
4211,Csontos Levente - Zalasch Kincső Veronika,Miskolcz-Revital TSE,par.php?id=6186
4212,Karkus Kevin - Fáki Eszter,Sziget Dance Táncsport Egyesület,par.php?id=147
4213,Gála TE Dream -,Gála Társastáncklub Egyesület,par.php?id=3847
4214,Bonita STE Veszprém -,Bonita Táncsport Egyesület,par.php?id=3848
4215,Herczeg Zsolt - Bálint Andrea,Everydance Táncsport Egyesület,par.php?id=5609
4216,Welcome to the Moulin Rouge -,Elita Lengyelország,par.php?id=6059
4217,JOYDANCE A CSAPAT -,JoyDance Táncsport Egyesület,par.php?id=6051
4218,Clown -,"Forma TSE, Táltos Team",par.php?id=6058
4219,Survivor -,Oktogon Tánc Centrum Egyesület,par.php?id=6057
4220,IndepenDance -,TAZE Tánc Sportegyesület,par.php?id=6049
4221,Zelenka Mátyás - Biró Andrea,Papiron Szeged Versenytáncklub Egyesület,par.php?id=2624
4222,Bekker Csaba Gábor - Balog Alexandra,Szilver Táncsport Egyesület,par.php?id=639
4223,Csontos Mihály Dániel - Kolumbán Elvira,Ametiszt Táncsport Egyesület,par.php?id=2230
4224,Járányi-Tóth Boldizsár - Kovács Csenge,Gála Társastáncklub Egyesület,par.php?id=2231
4225,Berkó Tibor - Benkó Boglárka,Forma Táncsport Egyesület,par.php?id=7355
4226,Petróczki Nóra -,DanceNet Sportegyesület,par.php?id=6732
4227,Nagy Annabell -,Oktogon Tánc Centrum Egyesület,par.php?id=6731
4228,Halász László - Jánvári Regina Kinga Dr.,Dance Universe Tánc Sportegyesület,par.php?id=5176
4229,Ferenczi Tünde -,Cit-Car TSE,par.php?id=3850
4230,Ungvári Mihályné -,DanceStation TSE,par.php?id=3851
4231,Kovács Hunor - Jánosi Jázmin,SZOLDANCE Táncsport Egyesület,par.php?id=7443
4232,Vincze Flórián - Szvoboda Petra,SAVARIA TSE,par.php?id=1099
4233,Landi Dominik Balázs - Éva Elektra Gabriella,BNK Tánc Sportegyesület,par.php?id=6037
4234,Csibrán Róbert Kornél - Korsós Liliána,Szilver Táncsport Egyesület,par.php?id=5781
4235,Ametiszt B társasági táncok - Mesevilág,Ametiszt Táncsport Egyesület,par.php?id=7406
4236,Ametiszt A társasági táncok - Encanto,Ametiszt Táncsport Egyesület,par.php?id=7405
4237,Lázár Emili Laura -,Flamenco 2001 Táncsport Egyesület,par.php?id=6214
4238,Jámbor Noémi Melinda -,Lesz Dance Tánc- és Sportegyesület,par.php?id=6212
4239,Gudor Georgina -,Lesz Dance Tánc- és Sportegyesület,par.php?id=6211
4240,Sunko Luca - Eckhart Leonie,Austria,par.php?id=4648
4241,Baranyi Boglárka -,Oktogon Tánc Centrum Egyesület,par.php?id=6738
4242,Ruzicska Emma -,Oktogon Tánc Centrum Egyesület,par.php?id=6737
4243,Varga Annamária -,DanceNet Sportegyesület,par.php?id=7707
4244,Yanosh Maziuta - Sofiia Tetenich,Ukraine,par.php?id=4959
4245,Farkas Barnabás Sándor - P Kovács Panka Dóra,Ametiszt Táncsport Egyesület,par.php?id=5523
4246,Kása Benedek - Dubacz Júlia,Kapronczai AMI Pécs,par.php?id=840
4247,Csurgó Ferenc - Ulrich Dominika,Kapronczai AMI Pécs,par.php?id=843
4248,Berta Benjamin - Gazdag Viktória,Kapronczai AMI Györe,par.php?id=844
4249,Szász Anita - Motil Márk,Kapronczai AMI Pécs,par.php?id=848
4250,Boros Csaba - Kéri Mercédesz,Kapronczai AMI Györe,par.php?id=847
4251,Icha Zoltán - Lévai Ramóna,Kapronczai AMI Bikal,par.php?id=849
4252,Maurszki Zoltán - Varga Vivien,Kapronczai AMI Györe,par.php?id=850
4253,Friczki Péter - Póta Regina,Kapronczai AMI Pécs,par.php?id=851
4254,Regós Gábor - Simon Rebeka,Kapronczai AMI Pécs,par.php?id=852
4255,Sebestyén József - Tkaczuk Ingrid,Kapronczai AMI Györe,par.php?id=853
4256,Takács Zalán - Takács Borbála,Kapronczai AMI Pécs,par.php?id=854
4257,Kovácsfi Krisztián - Tilesch Dorottya,Kapronczai AMI Pécs,par.php?id=856
4258,Gelencsér Máté - Farkas Nóra,Kapronczai AMI Pécs,par.php?id=855
4259,Kaszás Levente - Pál Bettina Eszter,Ametiszt Táncsport Egyesület - Adria-Szigó KTSE,par.php?id=1659
4260,Erdős Péter - Mikó Szilvia Anna,Everydance Táncsport Egyesület,par.php?id=4159
4261,Vörös Lóránt - Jakab Enikő,Valcer TáncSport Egyesület,par.php?id=6503
4262,Felméri István - Vajai Rita,Goldance Táncsport Egyesület - Oktogon Tánccentrum,par.php?id=168
4263,Muladi Zétény Zsolt - Gál Viktória,Szilver Táncsport Egyesület,par.php?id=4344
4264,Marius Eric Nitu - Ioana Daiana Stanciu,Romania,par.php?id=1302
